,level_0,index,dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
50,76,76,wsc-spacy,P-SPAN,1e-05,64,20,956242,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_64_max-epochs_20_seed_956242,8.0,173.0,173.0,False
51,77,77,wsc-spacy,P-SPAN,1e-05,8,20,809030,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_20_seed_809030,69.0,1385.0,1385.0,False
52,79,79,wsc-spacy,P-SPAN,1e-05,8,10,928153,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_10_seed_928153,69.0,692.0,692.0,False
53,80,80,wsc-spacy,P-SPAN,1e-05,64,40,557026,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_64_max-epochs_40_seed_557026,8.0,176.0,346.0,True
54,81,81,wsc-spacy,P-SPAN,1e-05,8,20,946844,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_20_seed_946844,69.0,1385.0,1385.0,False
55,84,84,wsc-spacy,P-SPAN,1e-05,8,40,424295,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_40_seed_424295,69.0,1518.0,2770.0,True
56,85,85,wsc-spacy,P-SPAN,2e-05,32,40,235304,0.6346153846153846,wsc-spacy_P-SPAN_lr_2e-05_bs_32_max-epochs_40_seed_235304,17.0,374.0,692.0,True
57,86,86,wsc-spacy,P-SPAN,1e-05,64,20,59064,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_64_max-epochs_20_seed_59064,8.0,173.0,173.0,False
58,87,87,wsc-spacy,P-SPAN,2e-05,32,40,838524,0.6346153846153846,wsc-spacy_P-SPAN_lr_2e-05_bs_32_max-epochs_40_seed_838524,17.0,374.0,692.0,True
59,89,89,wsc-spacy,P-SPAN,1e-05,8,40,976656,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_40_seed_976656,69.0,1518.0,2770.0,True
60,91,91,wsc-spacy,P-SPAN,2e-05,64,40,562957,0.6346153846153846,wsc-spacy_P-SPAN_lr_2e-05_bs_64_max-epochs_40_seed_562957,8.0,176.0,346.0,True
61,92,92,wsc-spacy,P-SPAN,1e-05,8,40,746481,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_40_seed_746481,69.0,1518.0,2770.0,True
62,95,95,wsc-spacy,P-SPAN,1e-05,16,10,751940,0.625,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_10_seed_751940,34.0,346.0,346.0,False
63,96,96,wsc-spacy,P-SPAN,1e-05,32,10,272,0.625,wsc-spacy_P-SPAN_lr_1e-05_bs_32_max-epochs_10_seed_272,136.0,173.0,173.0,False
64,97,97,wsc-spacy,P-SPAN,1e-05,16,10,197614,0.625,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_10_seed_197614,34.0,346.0,346.0,False
65,98,98,wsc-spacy,P-SPAN,1e-05,16,10,232548,0.625,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_10_seed_232548,34.0,346.0,346.0,False
66,99,99,wsc-spacy,P-SPAN,1e-05,16,10,360563,0.6057692307692307,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_10_seed_360563,68.0,346.0,346.0,False
67,100,100,wsc-spacy,P-SPAN,1e-05,32,10,688033,0.5865384615384616,wsc-spacy_P-SPAN_lr_1e-05_bs_32_max-epochs_10_seed_688033,17.0,173.0,173.0,False
